NPI,State
1376701391,AL
1376787630,TN
1134549967,FL
1386601318,OK
1073774774,PA
1386871838,AL
1396125589,OH
1396702783,NJ
1407820194,GA
1407846330,FL
1477558195,NV
1487073920,TX
1487840047,GA
1487851754,SD
1487905634,TX
1497135156,CA
1497287148,IL
1497743702,CA
1497744205,MD
1497892996,NJ
1497908883,TX
1508857491,FL
1528015013,IL
1528079878,GA
1528264793,AZ
1528380441,GA
1538143805,MO
1538491311,PA
1558653014,CT
1568465987,NE
1568468999,MD
1568504280,NJ
1568780195,LA
1578060117,AZ
1588638217,PA
1598778052,OH
1609263532,PA
1639113665,NJ
1639137524,PA
1639160112,CA
1639271984,NJ
1639437627,MO
1639497258,CA
1649209115,FL
1649215245,PA
1659327849,FL
1659330272,TN
1659374205,IN
1659876696,CO
1679531974,CA
1689640377,MD
1689687147,OH
1700808904,CA
1700879343,AZ
1710911219,IN
1710961917,NJ
1720219454,PA
1720422520,OK
1730476730,OK
1730671389,CA
1740259829,IN
1740391952,FL
1740393511,NY
1740433945,CA
1770715484,FL
1780115493,PA
1780600098,TX
1780684571,NV
1790733954,MD
1790888006,CA
1811937683,CA
1821085457,KY
1821298134,AZ
1831137991,NV
1831151612,CA
1831159110,OH
1841222502,NJ
1851328132,VA
1851341846,OH
1851556476,MA
1861424178,CA
1861499071,OK
1871535674,TX
1871851923,CA
1871881656,MN
1881745651,OK
1902892201,VA
1912085002,AZ
1912492836,PA
1922035229,NY
1932101037,VA
1942400262,FL
1942593702,CA
1952894966,CO
1962473439,OR
1972663227,TX
1982054433,PA
1992293757,PA
1306026281,CA
1992860886,SD
1013449024,AZ
1023541729,MA
1033522529,TX
1043221187,MI
1124229810,NY
1134198096,PA
1134200629,CA
1134375918,NV
1306124599,ND
1225304918,MT
1124464664,NE
1508033432,FL
1194164186,NY
1205038262,NJ
1538102512,IN
1487767190,CA
1821171661,GA
1811992019,NY
1457361560,WA
1053362574,PA
1508851387,MN
1447510615,TX
1982066254,IN
1316984255,CA
1639112097,NJ
1467787226,MN
1720132962,TX
1639306343,KY
1326545062,SD
1245735984,CA
1609118439,WA
1922061969,CO
1003017468,GA
1053791715,SD
1992718373,TX
1396743555,MO
1457671307,GA
1972814374,AZ
1356340509,WA
1619927969,AZ
1174788699,NJ
1114128519,WA
1194775932,MD
1275995714,MT
1679913305,TX
1134548209,WA
1174935910,NE
1316108038,CA
1306957329,CA
1063673408,NJ
1386634400,MA
1285622951,MO
1437155041,NJ
1982015921,TX
1477715829,CO
1093209777,FL
1346530441,MO
1487817995,MO
1538666151,MO
1730442500,MO
1306163589,CA
1538450499,NC
1114188042,PA
1508847930,NJ
1083806541,CA
1891797965,KS
1477815389,AZ
1811218332,PA
1760828248,CA
1508863101,TX
1023336633,TX
1962475806,FL
1902848765,IN
1962631150,MS
1003470352,GA
1548642234,NJ
1215172994,NJ
1548585854,IN
1124434063,MD
1720196314,OK
1508927310,GA
1548203904,CA
1780069294,CA
1366533846,CA
1255441952,UT
1023015476,VA
1043245954,NJ
1326146630,CA
1972764801,DC
1528080694,CA
1598735813,AZ
1548722440,NY
1598385148,MO
1164047221,MA
1043252273,NY
1932136959,MO
1558590034,KS
1457746612,MO
1154362077,MO
1093008302,AR
1295963999,AR
1750397576,OR
1740742758,OR
1285990671,KY
1225326580,CA
1538137666,CA
1023389871,NY
1447286190,FL
1992237952,MN
1629230206,MN
1275557613,MS
1538379789,MS
1326075680,KS
1902249139,GA
1588732424,MD
1982099131,FL
1750517710,FL
1366821688,UT
1770111775,UT
1275508160,UT
1982041372,UT
1861758443,CO
1912433293,AZ
1225019904,AZ
1497119093,AZ
1477080257,MI
1366271736,FL
1295992550,FL
1811267255,NY
1952393373,TX
1750812194,MS
1720370067,LA
1457348930,MA
1063466324,RI
1225276678,RI
1114156841,RI
1346243714,CO
1437385077,FL
1891788436,CA
1346535481,ID
1457586299,MD
1750389854,MA
1689014409,OR
1871674507,AZ
1205811023,CA
1508493925,PA
1235674458,PA
1922628577,NY
1467494203,CA
1265427918,MN
1184949687,GA
1265570840,GA
1841487030,CA
1013259167,OR
1437124161,AZ
1366700460,SD
1285049940,SD
1821246141,CA
1750923108,CA
1114946555,WA
1831175629,UT
1396756847,CA
1659548543,GA
1811057821,CA
1285746578,TX
1922083690,MI
1811217912,MI
1467872390,MN
1669478384,MN
1801086202,LA
1376980318,KY
1831307594,NM
1700869179,IN
1386602159,TN
1972037018,FL
1609807445,GA
1598022873,NJ
1922002872,IA
1043538796,LA
1003893454,IL
1386838563,TX
1386762128,TX
1295823755,CA
1407957160,TN
1205065646,PA
1881072569,DE
1609968833,NY
1518096692,NJ
1780614560,MO
1295784916,CO
1205990207,TX
1689677742,NH
1538162177,OK
1841200037,OK
1114489721,PA
1427044072,OH
1316357825,FL
1578740668,MI
1457353435,WI
1205824448,MT
1245371129,NJ
1497752687,FL
1417147935,FL
1407161771,KS
1033420260,NY
1548431315,FL
1659563039,ND
1164187019,IA
1003899436,IN
1952664260,UT
1073508164,TX
1568451797,TX
1417916586,ID
1497836290,OH
1770801540,CA
1750414157,NJ
1205837010,AZ
1992208722,NC
1942573639,AR
1821272378,TX
1336161157,NY
1205987831,MO
1912324708,VA
1457373466,OK
1306837562,FL
1346206224,WA
1942430764,MO
1386693604,MN
1225092315,PA
1336309723,NY
1356395404,FL
1710055041,KY
1619957081,NV
1144224627,GA
1245226463,MO
1760452338,OH
1710093083,CA
1811159791,SC
1770560096,NY
1144261876,FL
1477879823,CA
1386643104,OH
1609220979,AZ
1063638682,CA
1487067484,AZ
1972893915,NY
1720040454,FL
1588027213,CA
1649267006,IL
1437389822,CA
1760420822,MI
1790970291,HI
1285782847,CA
1467433037,CA
1255314597,AZ
1235220799,CA
